study_id,system_id,construct_id,assay_id,endpoint,endpoint_taxonomy,raw_value,unit,matched_control,control_taxonomy,control_value,replicate_n,mean,SD,SE,CI,statistical_test,p_value_if_reported,source_type,figure,table,SI_page,digitized,extraction_type,panel,digitization_method,estimated_extraction_uncertainty,extraction_notes,quality_flags
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_07,V2_source_assay_unspecified,titer,TITER,4.169925,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,4.169925,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_08,V2_source_assay_unspecified,titer,TITER,1.96347412,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.96347412,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_09,V2_source_assay_unspecified,titer,TITER,0.378511623,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.378511623,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_FL15,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.04264433740849372,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.04264433740849372,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_RL15,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.056583528366367514,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.056583528366367514,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_MFL15,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.21412480535284734,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.21412480535284734,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_FL20,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.15055967657538138,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.15055967657538138,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_MFL20,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.22650852980867975,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.22650852980867975,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_MRL20,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.014355292977070054,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.014355292977070054,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_RL25,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.04264433740849372,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.04264433740849372,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT035,SYS0002,P1_TGT035_MRL25,V2_in_vitro_trehalose_production,trehalose_titer_ratio,TITER,0.02856915219677092,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.02856915219677092,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT030,SYS_TGT030,P1_TGT030_WLS07,V2_in_vivo_shake_flask,2FL_titer,TITER,0.7283421671710466,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.7283421671710466,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT030,SYS_TGT030,P1_TGT030_WLS08,V2_in_vivo_shake_flask,2FL_titer,TITER,1.1171957346462353,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.1171957346462353,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT030,SYS_TGT030,P1_TGT030_WLS09,V2_in_vivo_shake_flask,2FL_titer,TITER,-2.0686708106650986,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-2.0686708106650986,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT030,SYS_TGT030,P1_TGT030_WLS13,V2_in_vivo_shake_flask,2FL_titer,TITER,-0.14267139210887528,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.14267139210887528,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT030,SYS_TGT030,P1_TGT030_WLS14,V2_in_vivo_shake_flask,2FL_titer,TITER,1.2959016216307577,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.2959016216307577,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA02,V2_in_vivo_shake_flask,L_fucose_titer,TITER,0.4918530963296747,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.4918530963296747,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA03,V2_in_vivo_shake_flask,L_fucose_titer,TITER,-1.6076825772212398,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-1.6076825772212398,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA02-A,V2_in_vivo_shake_flask,L_fucose_titer,TITER,-0.02272007650008353,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.02272007650008353,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA02-D,V2_in_vivo_shake_flask,L_fucose_titer,TITER,0.30378074817710293,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.30378074817710293,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA02-N1,V2_in_vivo_shake_flask,L_fucose_titer,TITER,0.18982455888001723,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.18982455888001723,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA02-N2,V2_in_vivo_shake_flask,L_fucose_titer,TITER,0.20945336562894978,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.20945336562894978,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA02-N3,V2_in_vivo_shake_flask,L_fucose_titer,TITER,-0.6076825772212398,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.6076825772212398,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA04,V2_in_vivo_shake_flask,L_fucose_titer,TITER,-1.8300749985576876,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-1.8300749985576876,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA05,V2_in_vivo_shake_flask,L_fucose_titer,TITER,-0.09310940439148147,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.09310940439148147,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA06,V2_in_vivo_shake_flask,L_fucose_titer,TITER,-0.2186402864753404,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.2186402864753404,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT019,SYS_TGT019,P1_TGT019_BFA07,V2_in_vivo_shake_flask,L_fucose_titer,TITER,0.7142455176661227,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.7142455176661227,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT038,SYS_TGT038,P1_TGT038_EZJ06,V2_in_vivo_shake_flask,2FL_titer,TITER,0.7818198299504665,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.7818198299504665,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT038,SYS_TGT038,P1_TGT038_EZJ12,V2_in_vivo_shake_flask,2FL_titer,TITER,0.24392558288608937,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.24392558288608937,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT021,SYS_TGT021,P1_TGT021_GSP_1-3-1,V2_in_vivo_shake_flask,butanetriol_titer_ratio,TITER,0.37183761733042053,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.37183761733042053,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT018,SYS_TGT018,P1_TGT018_Strain04,V2_in_vivo_indigo_production,indigo_titer_ratio,TITER,0.11370049916472831,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.11370049916472831,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_TGT018,SYS_TGT018,P1_TGT018_Strain11,V2_in_vivo_indigo_production,indigo_titer_ratio,TITER,0.3334237337251918,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.3334237337251918,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_KANG2019,SYS_S43_MEN_DH,S43C001,V2_relative_SHCHC_at_25_min,relative_product,TITER,0.48542682717024166,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.48542682717024166,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_KANG2019,SYS_S43_IDI_CRTE,S43C002,V2_ug_mL_total_carotenoids_8h,titer,TITER,1.2121149421406208,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.2121149421406208,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_KANG2019,SYS_S43_IDI_CRTE,S43C003,V2_g_L_lycopene_144h,titer,TITER,0.6599245584023783,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.6599245584023783,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_ZHU2021,SYS_S43_QUINOLINATE,S43C004,V2_g_L_quinolinate_4d,titer,TITER,1.4854268271702418,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.4854268271702418,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_ZHU2021,SYS_S43_QUINOLINATE,S43C005,V2_g_L_quinolinate_4d,titer,TITER,-0.5145731728297583,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.5145731728297583,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_ZHU2021,SYS_S43_QUINOLINATE,S43C006,V2_g_L_quinolinate_4d,titer,TITER,1.8875252707415875,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.8875252707415875,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_S43_ZHU2021,SYS_S43_QUINOLINATE,S43C007,V2_g_L_quinolinate_4d,titer,TITER,1.2630344058337937,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.2630344058337937,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
